S1,S2,S3,S4,default
0.40988156474165743,0.9271934920207061,0.7182969775544698,0.6144240414268562,0
0.43763471852440194,0.8597612728781584,0.6254782467055469,0.4924707940150603,0
0.2856365275104301,0.8285574317559399,0.6353138730514946,0.5987647665339935,1
0.546107419033532,0.950321124026096,0.4485722474867934,0.3866180616154584,0
0.4531239550850334,0.8833715060288213,0.8309813410985054,0.7868687851860728,0
0.354000365020958,0.8938811743434374,0.5101069844668302,0.7726760497651897,0
0.5961203241609978,0.8625650371418994,0.744920489451808,0.3,0
0.529460689701337,0.2305404320496661,0.6424053502902628,0.5856162883344805,0
0.37196552056148224,0.9236995340740652,0.8305548952981423,0.5348809795783525,0
0.43829318416495455,0.9101634767010054,0.7552324497517182,0.7251415004743066,0
0.42103699743855205,0.9058041448179381,0.5738111068100993,0.7397341793274104,0
0.3550204624729587,0.8258862184416584,0.7447900562529975,0.6595457536538808,0
0.5028915398128202,0.8962923444287805,0.45972547411699083,0.6566067812459564,0
0.48627042582405194,0.8764001080539101,0.43688492251781186,0.4880240995995742,0
0.47559205274648875,0.9070165098643169,0.6213738015984723,0.7818461681024221,0
0.6439713664848116,0.89900063750183,0.7086935955979003,0.8660516702594062,0
0.9016341761730716,0.8504297655400992,0.7095755238036957,0.7471267530171951,0
0.5611466893130836,0.9415367543143476,0.4942596539058356,0.464780025951367,0
0.38134217973731155,0.8970905528695834,0.5729204969736742,0.5092693356840186,0
0.4651450701021178,0.8964168313482647,0.49856871667504044,0.7406083403988153,0
0.34745665927063485,0.9095532727294195,0.8328309331248471,0.789530436685153,0
0.36660543289740827,0.8689826946582928,0.35219267504105894,0.440803222805126,1
0.3595134008241542,0.8607597164556178,0.6408730520235079,0.524191440688182,0
0.6149489955215688,0.8765656691701095,0.4158370670681686,0.5485751389443847,0
0.49818430221441273,0.8487948903531644,0.5326451573249139,0.5899565654482828,1
0.4363348833070003,0.8869383478125812,0.6193865179254234,0.6146272080016064,0
0.5002876424693123,0.7419109064349139,0.4967185920883625,0.46218668201270235,0
0.6483676211533972,0.9274208181637614,0.6530165437922651,0.5187617104111242,0
0.3746370200495314,0.8599396440648845,0.5919221202011913,0.3718253408436626,0
0.43637220651167974,0.9112411446014491,0.6280868033031253,0.705247814636917,0
0.45478951036934073,0.7660597439927019,0.5664721086390236,0.3,1
0.478540983662401,0.9325402202539284,0.700247822068556,0.558362377283228,0
0.7127626791675296,0.908031312921393,0.7947008714104233,0.710824733265783,0
0.6969496333466183,0.8637337605739084,0.6032640288580794,0.7460528963257016,0
0.5478325361759222,0.8746234615806106,0.7259927821976737,0.6302692425995691,0
0.3301517917497788,0.847494845978437,0.6888258637548527,0.648941821818434,0
0.3754276795292284,0.897385469144016,0.6557294518871918,0.6027061111312795,0
0.433439485150573,0.8869121296428977,0.6047575235572021,0.6809992997048973,0
0.4383396645072428,0.9143867165889732,0.3736962837149972,0.4125604256531423,0
0.5054931741214077,0.9154917379633416,0.4955055229722944,0.3,0
0.3810825793646301,0.9034050204297397,0.8195116957948516,0.533379470329507,0
0.40874743948759623,0.8792804765394313,0.6518618106805308,0.7253444227612191,0
0.43653522044527476,0.9449777633640026,0.503139828359489,0.6473186955905577,0
0.6796486822296367,0.8303874459355236,0.7041658177617972,0.6351966655193404,0
0.5765087313308273,0.8471786662624708,0.40861420711475366,0.3,0
0.6803019313688907,0.8421656976570753,0.6130459370270784,0.5905068111679714,0
0.44993889907806284,0.9200304145398601,0.695578142691874,0.4932276228009125,0
0.4661458754596799,0.9103144389345135,0.5902395838648515,0.6410957120511318,0
0.7151021191435998,0.9278653147166446,0.6530924667276514,0.6541178152583271,0
0.41860946699989043,0.8999217962436876,0.7375769040730444,0.6012827974822177,0
0.5379105256197556,0.8986866172569717,0.5641846698198982,0.4766591376161176,0
0.5069313079777155,0.8430300391728462,0.6511096304083194,0.6578409211919043,0
0.372451164406277,0.9464974223968994,0.7980669663594038,0.47751667372986417,0
0.5397220556708617,0.8491944463944185,0.6281180374335052,0.5897077872329923,0
0.7657619467333259,0.9034243678213711,0.7406271471470515,0.755521412609393,0
0.589659798024434,0.8952776795067208,0.6077450004184911,0.5060937852432187,1
0.6108496773193568,0.8970460054657489,0.4284608275847745,0.7764650428447126,0
0.6325488077287593,0.9023913046519676,0.687543156258038,0.837968823432439,0
0.6221116106462958,0.2608135112889428,0.5233165522992514,0.7256601305793908,0
0.6325116908789464,0.8543646036425578,0.7213431637683325,0.7620822305883457,0
0.5023324631295049,0.8904208285320991,0.6417491424730969,0.7942704768737291,0
0.5820911736713611,0.8650980883711181,0.583852344678841,0.5737262877716232,0
0.5135001741382423,0.8560395257190674,0.7711970933330693,0.5875799926397528,0
0.7358339471878388,0.9208425240976816,0.6421292346210277,0.6115423425414693,0
0.7226121510235799,0.27923383559774684,0.6094031020859121,0.6188638182268198,0
0.6785621544204461,0.89840271561672,0.527667434140248,0.6324614247786143,0
0.37501050560991245,0.8624559868166284,0.7089830859092919,0.7509273617850067,0
0.6598970213742864,0.8440328495978833,0.6234929353593582,0.5747256914724144,0
0.45265225665687714,0.8215980824833781,0.46004959117507455,0.3,0
0.4007803933807998,0.8024379081890123,0.6602925620799934,0.6813700566681038,0
0.597732042979056,0.8625536215587208,0.4708982257158089,0.597788363410581,1
0.33323546334546184,0.8818466975183268,0.6970058707424569,0.6832911262329333,0
0.5579081344787431,0.9216256474781335,0.6282076724407665,0.5588389297111979,0
