sample_id,default,revenue_growth,profit_margin,roa,roe,current_ratio,quick_ratio,debt_to_equity,debt_to_asset,dscr,inventory_turnover,receivable_turnover,asset_turnover,free_cash_flow,operating_cash_flow_ratio,cash_conversion_cycle,days_sales_outstanding,days_payables_outstanding,avg_daily_balance,min_balance_3m,cash_flow_volatility,net_cash_flow,overdraft_count,cic_score,num_active_loans,total_outstanding_debt,max_past_due_days,num_past_due_30d,num_past_due_90d,debt_burden_ratio,credit_history_length,previous_default_history,num_transactions_3m,avg_monthly_deposits,avg_monthly_withdrawals,transaction_regularity_score,owner_age,owner_education,owner_experience,product_differentiation_score,industry_competition_intensity,supplier_relationships,customer_concentration,digital_footprint,business_age,num_employees,employee_productivity_score,revenue_capacity_ratio,financial_data_reliability_score,business_certification_count,founding_year,years_at_current_location,industry_changes_count,past_bankruptcy,ownership_stability,industry_code,industry_risk_score,industry_lifecycle_stage,district_code,district_risk_score,business_zone,district_business_density,avg_income_district,has_collateral,collateral_value,loan_to_value,collateral_liquidity_score,collateral_type
680,0,0.1244382380309771,0.0321455402884434,0.0241075247385798,0.0469301125789923,1.8285811862846184,1.2489647784590598,0.9574361551824868,0.4770673125170351,0.5314940580679113,3.2904948940343046,5.241294436261797,0.7294336619967088,-1975620.727040423,0.7705122922854872,134.73746030099502,69.63928556937277,45.82738867276051,22291944.0,3770076.0,29.31,-2262762.0,0,713,3,14200000.0,0,0,0,3.0,2.6,0,48,19512506.0,21775268.0,4.983308530532865,34,Vocational,6,6.989071612765299,6.121745330582802,7.689136636718936,0.367220641185209,6.104730635435349,4,21,7.978999313314291,0.5533358382358566,7.103657475562959,1,2020,3,0,0,7.712557068678463,46,6,Mature,15,4.179440448920202,Urban,501.5262996487576,14.609375082124656,0,0.0,0.0,5.46841634885909,
933,0,0.2773035119000785,0.0346886312838158,0.0322972583824313,0.0487822489679373,1.33349925032906,0.9727492689829822,0.4781872804612281,0.3460826740532564,0.8934076957235229,7.429820261159395,6.260140515032172,0.9193502568091952,-322181.8746726467,1.0473040838878092,64.61838377161949,58.3054005135417,42.81337339258002,1385238.0,199180.0,17.75,-359225.0,0,577,4,8700000.0,0,0,0,3.0,3.3,0,6,2500301.0,2859526.0,6.1348826454083225,41,Bachelor,14,5.497811555701177,6.000614150067511,5.332549186219992,0.4085064954249775,7.907501799171756,8,63,5.706365233611591,0.6537087581013057,7.725809687452933,0,2016,6,0,0,5.09515876212939,46,6,Mature,16,3.694833575936099,Suburban,139.19092411579152,10.917872114757245,0,0.0,0.0,5.616376229090912,
2885,1,0.2063529486317399,0.0574660062552453,0.0455588124110527,0.1063058915274758,1.1528111488831845,0.7835109539665502,1.286668128355144,0.5543885230922498,0.8107415878722444,3.4660537559787707,2.481297942122822,0.7869362181067643,-49776.23509265242,0.8762202183142653,170.99409254515504,120.0,54.31298740719512,345590.0,83896.0,27.39,-69734.0,0,512,1,87300000.0,0,0,0,3.0,3.3,0,7,777046.0,846780.0,5.679355129420307,47,Vocational,8,7.410578435970777,8.324615690992921,7.173722593616223,0.2566832438137386,9.001044698205959,9,41,4.322821137074127,0.8286963505447169,7.497353850862129,1,2015,8,1,0,8.811110544863414,56,8,Growth,21,5.380860481372096,Suburban,142.97805062619284,8.442377143138483,1,208600463.19033456,0.7093096086021606,3.050582396341928,Real Estate
2735,0,0.069818572797558,0.0486913187384701,0.0554086056541717,0.0933661527709961,1.4633246381719336,1.2070009775645665,0.7208766902392345,0.4163099924156945,1.383531986558178,9.41895981790524,5.451417845398589,1.1466267882836574,6572802.7106016055,1.1125491161790766,64.1309000902964,66.95505836304362,41.57578340508327,58072714.0,24223380.0,28.16,7397266.0,1,749,0,224100000.0,0,0,0,3.0,4.9,0,59,54449174.0,47051907.0,6.16573790643938,35,Bachelor,4,4.674376380664751,9.517913302423196,7.063375283926105,0.4697343214958006,9.22182341663157,13,7,3.2826149862905734,0.6440604921869648,4.050503011551859,0,2011,8,1,0,5.006850594504849,56,8,Growth,1,6.130608631679712,CBD,1093.9921307931882,17.052153126482594,0,0.0,0.0,6.990663816986594,
640,0,0.0616486685730156,0.0319258853349378,0.0327034509477263,0.0615317435890166,1.9435881594515705,1.521245314528609,0.9395960614551752,0.4614545187089314,0.7733686358200182,7.298817068200314,3.985300146972783,1.0259737782663123,225141.48404216347,0.5490491234468442,98.1005611710345,91.58657730641757,43.49411972113286,2563105.0,352610.0,31.58,290334.0,2,585,3,139800000.0,0,0,0,3.0,10.5,0,12,2960392.0,2670058.0,6.985676931376419,47,Bachelor,13,7.164345208989947,6.479748118072103,8.363089850983066,0.5447962452711523,5.883776657632606,20,16,6.161002045505809,0.7749941633245665,6.870360176872808,0,2004,17,0,0,7.349436106231253,46,6,Mature,19,4.951948221201502,Urban,532.104059128899,15.095134817940352,1,203803416.3223148,0.687452963280111,7.018320408997738,Vehicle
498,0,0.246496634992562,0.0301097833259611,0.025500300345707,0.0567876509059636,1.4640574358611256,1.071806370262265,1.2755060719743412,0.5641604104153486,0.4587708772778974,4.609351884204954,5.900341731456523,0.8614186752644345,-224721.80582933503,1.3633121223758498,110.2724923940752,61.86082376450733,30.77516916660033,6054536.0,2541047.0,34.6,-314056.0,1,640,2,169000000.0,0,0,0,3.0,4.1,0,19,5028534.0,5342590.0,6.168386036793275,50,High School,5,3.579173291706849,7.849537372871803,8.845708100249299,0.3391575763524975,6.326897823888679,11,37,3.486688997819828,0.6986477781934562,4.211358176108881,1,2013,9,0,0,7.325191959675571,46,6,Mature,5,3.3794664462714046,Suburban,155.74638910725196,8.593358967744175,1,425404805.61478186,0.7587046248347471,3.973169934288754,Real Estate
1644,0,0.0556597300914319,0.0802415499067614,0.059888064468639,0.1120232849612289,1.3996377821563406,1.011309411840175,0.858201061970998,0.4409461345951087,1.405211300214912,6.898483012673196,5.828329036228778,0.7476109391917632,1690358.3890031185,0.4580242841234484,77.65453731016764,62.62515340694858,37.88079929640016,6114165.0,2718080.0,34.11,2049622.0,0,672,0,12600000.0,0,0,0,3.0,11.8,1,25,13048889.0,10999267.0,6.229898195902615,37,Bachelor,7,5.417345321616756,4.05326337382821,7.210266238279448,0.3491131039767439,5.7529598877446,30,9,4.936176281824042,0.8531335868518592,5.668187222429532,2,1994,20,0,1,7.166098252446853,10,4,Mature,4,4.609166286670995,CBD,1181.4709006154978,15.989883284937957,0,0.0,0.0,6.484013909162287,
2747,0,0.0183980126082923,0.0501566918676126,0.0566772313526071,0.1023833617502722,1.4094035665748097,1.1239812631257278,0.9404465264987536,0.4678315678881284,1.3680952500192525,9.8923611554521,8.092457397612346,1.1298212116320472,-822889.6872865645,1.1091522884400296,47.51440550703913,45.1037283319764,34.48647955670833,4348303.0,1457223.0,27.5,-1008864.0,0,662,0,35600000.0,120,4,3,3.0,0.7,0,24,7095332.0,8104196.0,5.829199191987591,52,Master,10,4.558820258260648,8.126356099907639,6.254418482138072,0.3555545748703216,7.733934034631436,1,11,4.13196072591612,0.7531293649126933,8.20145892033861,0,2023,0,0,0,8.916006167624024,56,8,Growth,23,3.700707646364935,Suburban,135.91302807565597,8.466959621159768,0,0.0,0.0,7.140403925462421,
377,0,0.1786526675152796,0.0291070693736259,0.0279882343275118,0.070244490559874,1.8887818049838383,1.0971025905299872,1.6533352366494016,0.6653682043554165,0.3947967576983175,3.5183422090405645,5.276835163628989,0.9402536506524036,-401124.1025590733,1.213021597116938,120.67302784868718,69.17024858305066,52.23926125052287,11954003.0,2453729.0,26.93,-461606.0,0,693,2,191100000.0,0,0,0,3.0,5.4,0,34,18083065.0,18544671.0,4.255692656767755,47,Bachelor,12,7.154780887782566,6.422826031551808,6.8922362150138765,0.2299474517690699,5.6414552340797215,6,46,7.970207262580758,0.560901877105308,7.214442549362579,0,2018,3,0,0,6.37623873287671,46,6,Mature,22,5.572652694570255,Urban,620.9851024850093,13.295562814205136,0,0.0,0.0,6.767431872971102,
276,0,0.1036096596301487,0.0258183699481039,0.0163267322146032,0.0200484704905206,2.060121544114516,1.7665139506751475,0.4589906617030819,0.3312368258211608,0.5680800270369375,8.129360845546648,4.18815475620235,0.6800326079495399,2180491.053539029,1.2856660354808331,82.4676873256166,87.15055227113129,49.58184371331672,7230175.0,3027291.0,20.48,2724581.0,0,673,1,20400000.0,0,0,0,3.0,4.1,0,22,16079660.0,13355079.0,5.563001390836373,25,Bachelor,5,6.357667645273144,6.052166573369444,7.749587110358598,0.2248083481795355,7.9411736137792275,2,47,7.980979561874145,0.7318783389012353,7.904741144837638,0,2022,0,0,0,7.82808713391345,46,6,Mature,24,4.917211024752234,Urban,715.0861592163207,15.68808130913562,1,427405861.4300843,0.5857023168241662,6.311066266295224,Vehicle
